@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data
'todo change bytebufferfeeder when supported jackson see ',positive
'extract key from attribute subelement ',negative
'corresponding field the target class ',negative
'create alias ',negative
'find the current raw value invoking the corresponding setter ',negative
'client side httpcookie support yet ',negative
'spr ',negative
'will jndi lookup get home but wont call create ',negative
'and not expressions ',negative
'reset the flag back ',negative
'commit session acknowledge message ',negative
'data flow algorithm put the first basic block list blocks process blocks whose input stack size has changed and while there are blocks process remove one from the list update the input stack size its successor blocks the control flow ',negative
'this trigger has somewhere between and ',negative
'lets try whether were jta transaction ',negative
'checks that the custom keygenerator was used ',negative
'varargs char ',negative
'mark override not overloaded avoid the overhead arg type checking ',negative
'now copy both the callbacks from maincallbacks ',negative
'cant assert its equal the pointcut may optimized and only invoked once ',negative
'parse the arrayvalue array ',negative
'use request scope expose nestedpath included pages too ',negative
'count all advice including explicit registrations ',negative
'public int return return ',negative
'else let use the default testdb name ',negative
'rely default setting resourcereffalse auto addition javacompenv prefix ',negative
'',negative
'ignore webserviceexception probably setup issue with jaxws provider jaxb ',negative
'only setter fired ',negative
'whats reasonable expectation for any server developer machine load seconds ',negative
'were checking nested generic variables now ',negative
'clear remaining scheduled invokers possibly left over paused tasks ',negative
'preferred option jdk lookupdefineclass api classloader matches ',negative
'wrap executor with unconfigurable decorator ',negative
'',negative
'all tests are the parent class ',negative
'get here need process existing result object immediately the decision made within the result lock just the handle call outside ',negative
'this point know were streaming ',negative
'make invocation available necessary ',negative
'any other reactive type typically flux ',negative
'should have been autowired ',negative
'should not happen since placeholders are checked earlier ',negative
'give trying compile when just doesnt seem possible ',negative
'make sure body consumed avoid leak reports ',negative
'probably prebound resource ',negative
'the factory prototype ask for multiple instances ',negative
'fallback setstring setnstring binding ',negative
'generate stackmap attribute entry which are always uncompressed ',negative
'expose this tags status object pagecontext attribute ',negative
'the introduced method throws exception ',negative
'expired retrieve while processing request invalidated ',negative
'purge empty entries access since dont have cleanup thread the like ',negative
'check can find the ctor ',negative
'are using generated key columns ',negative
'expected ',negative
'currently deliberate ',negative
'srctype has the same array dimension and the same kind dsttype ',negative
'first invoke the that implement priorityordered ',negative
'cant exact matching through ismatch ',negative
'reference the another bean parent context ',negative
'parameter ',negative
'try custom converter ',negative
'spr ',negative
'transacted session created this container commit ',negative
'double ',negative
'return null rather than throw exception that behave well ',negative
'inline map creation not supported the moment arraylistclass ',negative
'match ',negative
'check the ehcache cache again case the cache was added runtime ',negative
'usertransaction has already been obtained from jndi the probably sits there well ',negative
'need wrap the with decorator that will only instantiate once ',negative
'should throw cnfe when trying load you actually have the classpath ',negative
'has synch enabled used outer level has synch enabled inner level ',negative
'using assignment within the expression ',negative
'these fail prior fixing spr ',negative
'cannot modify startuptime collection elements anymore for stable iteration ',negative
'implicit stack map frame needed ',negative
'send error while item cached ',negative
'spr ',negative
'add all the spring advisors found according superclass rules ',negative
'the properties will created ',negative
'spr ',negative
'remove resolved singleton classes from cache ',negative
'faking message received ',negative
'equal values are equal ',negative
'statements can add attribute names the constant pool thereby changing its size ',negative
'equality checks were handled the proxy ',negative
'spr ',negative
'multipurpose return value types ',negative
'runtimeexception will lead rollback ',negative
'validate nested type structure ',negative
'this used for groovy its bean reference customizer bean ',negative
'spr ',negative
'get here need create methodinvocation ',negative
'extract value from attribute subelement ',negative
'assign generated name ',negative
'make sure the two instances share the same frame instance the implementation link relies this property here labelframe should ',negative
'not allowed ',negative
'have given ',negative
'constvalueindex constantdouble constvalueindex constantfloat constvalueindex constantinteger constvalueindex constantlong ',negative
'now there may may not exponent ',negative
'spr ',negative
'adapt ',negative
'order not inherited ',negative
'',negative
'',negative
'case array type need build its descriptor first spring patch larger initial size ',negative
'set computed http cachecontrol header ',negative
'testing unix ',negative
'check nested list list ',negative
'convenience methods for contentbased equalityhashcode handling ',negative
'spr ',negative
'quick check for existing entry concurrenthashmap ',negative
'the nth entry contains the slot index the lvt table entry holding the argument name for the nth parameter ',negative
'frame merging methods used the second step the stack map frame computation algorithm ',negative
'try default variable resolution ',negative
'register the final advisor ',negative
'more expressions found string add rest static text ',negative
'jta transactionmanager available log warning ',negative
'force static initializers run ',negative
'need ',negative
'and ',negative
'request configuration not set the context ',negative
'implementation jdbc getparentlogger method ',negative
'check that ref and method are specified ',negative
'clear first session may unresponsive ',negative
'cache name given use bean name cache name ',negative
'spr ',negative
'test property set tbname ',negative
'clean the client created the constructor ',negative
'implementation interface ',negative
'same ',negative
'fall through loadable check below ',negative
'will verify the buffers release ',negative
'different parts elvis expression are null ',negative
'add our local advisor the existing proxys advisor chain ',negative
'process any early evictions ',negative
'convert collection elements ',negative
'allow for custom postprocessing before actually build the validatorfactory ',negative
'consistent with ',negative
'fulfill all the parameter requirements except the last one ',negative
'remove header available ',negative
'rangestartrangeend ',negative
'implementation factorybean interface ',negative
'all the methods this class use the advised template method obtain transaction object configured with the given and transaction attribute source ',negative
'ignore after send failure ',negative
'copy and reset the nextattribute field that can also used fieldwriter ',negative
'are guaranteed bind exactly the same way ',negative
'only one the advisor but not both pointcutadvisor then mismatch takes care the situations where introductionadvisor used see spr ',negative
'method predicates ',negative
'not feasible count bytes potentially streaming response rfc allows head without contentlength ',negative
'set infrastructure ',negative
'skip root ',negative
'create child applicationcontext for views ',negative
'this next call was failing because the iscompilable check indexer did not check the key being compilable and also generatecode the indexer was missing the optimization that didnt need necessarily need call generatecode for that accessor ',negative
'guarantee initialization beans that the inner bean depends ',negative
'and rename this class ',negative
'realliteral ',negative
'all need converting strings ',negative
'pass through when coming from fileitem directly propagate exception from operations within fileitemwrite ',negative
'websockethandler implementation ',negative
'clean the eventloopgroup created the constructor ',negative
'updated after each stackmapframe read ',negative
'normal case ',negative
'search for further keys strip with the first key stripped ',negative
'depending the configured hierarchy modes ',negative
'default connection timeout merged ',negative
'spr classes ',negative
'equality amongst standard annotations ',negative
'name attribute not supported label ',negative
'double slot left operand should get boxed return false ',negative
'need search for beans ',negative
'custom return value types ',negative
'management default editors ',negative
'construction the first outgoing edge basic block that ends with jsr instruction leads the jsr continuation block where execution continues when ret called see link ',negative
'finally invoke all other ',negative
'session ',negative
'spr ',negative
'special case when the key unquoted string literal that will parsed propertyfield reference ',negative
'initialize conversion service for this context ',negative
'invoke first any ',negative
'regular case straight bean instance with beanfactory available ',negative
'shouldnt happen does proceed with requesturi asis ',negative
'uninitialized let the bean factory postprocessors apply them ',negative
'have another kind throw ',negative
'special handling for this target this target annotation spring can optimize since know have exactly this class and there will never matching subclass runtime ',negative
'wont advised ',negative
'the following can also used directly access the environment instead relying placeholder replacement value environmentenigma ',negative
'the offset the attribute ',negative
'looking for the first extension ',negative
'peek into the file look for doctype ',negative
'the target bean should ignored favor the scoped proxy ',negative
'service locator for bean type ',negative
'dotted property names ',negative
'todo ',negative
'not streaming ',negative
'flushing support ',negative
'wait until stop called ',negative
'can also obtain the mixin this this way lockable mixin lockable jpgetthis ',negative
'spr ',negative
'should pass ',negative
'spr ',negative
'create new collection map ready for the indexer ',negative
'the end offset the stackmaptable attribute ',negative
'add parameters output content type ',negative
'access flags values defined ',negative
'now try execute the tag outside bindtag but inside messagetag ',negative
'classes ',negative
'shuffle sort times ',negative
'not used the response ',negative
'this may not all the uri variables supply what have far ',negative
'number types are not the same ',negative
'intentionally missing aliasforlocation ',negative
'ast ',negative
'session yet ',negative
'third request expired session new session created ',negative
'fall back ',negative
'destination ',negative
'create fresh workbook instance for this render step ',negative
'jacksondatatypejsr not available ',negative
'could actually try figure out interface from create ',negative
'unresolvable bean type probably from lazy bean lets ignore ',negative
'should handle customer exact match ',negative
'spr ',negative
'left the caller convert the value necessary ',negative
'first register the beanpostprocessors that implement priorityordered ',negative
'verify contracts between utility methods ',negative
'check whether current file size different than original one ',negative
'should not have invoked constructor for the proxy instance ',negative
'write methods property type potentially more specific ',negative
'relative the input stack size which not known yet ',negative
'query should not succeed since parameter declaration did not specify parameter name ',negative
'hibernate createquery method declares new subtype return type need use reflection for binary compatibility with here ',negative
'attempt retrieve bean that does not exist ',negative
'check registered ',negative
'all factory methods have the same return type return that type ',negative
'unresolved type variable potentially nested never insist exact match ',negative
'determine init method and destroy method ',negative
'existing transaction found check propagation behavior find out how behave ',negative
'longer counting ',negative
'spr mysource should win was registered manually ',negative
'wait for all tasks terminate works for the common pool well ',negative
'match number ',negative
'bean exists ',negative
'here rightnull leftunknown ',negative
'constructor invocation ',negative
'couldnt determine resource url return null indicate that there appropriate text representation ',negative
'have exactly one match ',negative
'worth closer look ',negative
'url resolvable url try relative resource base ',negative
'create for the specified resource bundle basename the jstl contextparam webxml wiring with the given springdefined messagesource parent ',negative
'collection processors ',negative
'indicate that message has been received ',negative
'null old pattern should ignore ',negative
'new session bound for the current methods scope ',negative
'close and stop the listeners ',negative
'handle prototypes correctly ',negative
'deal with the arguments expected number that everything but the varargs argument ',negative
'its all one get the text between the first and the last ',negative
'information about the current type annotation target the one read the current latest call link ',negative
'cancel associated userlevel future handle well ',negative
'data truncation data found value out range integrity constraint violation triggered data change violation with check violation ',negative
'spr ',negative
'this identical the implementation but differs the semantics the incoming collection which currently cant formally express ',negative
'allow for caching all bean definition metadata not expecting further changes ',negative
'box needed ',negative
'sanity check this particular call has not called the service ',negative
'create the definition ',negative
'make the scope create new object again ',negative
'parent ',negative
'exclude pointcuts ',negative
'check for file with language country and variant localization ',negative
'something transactional ',negative
'method with string return ',negative
'target connection already held return ',negative
'check that were not parsing our own bean definition avoid failing unresolvable placeholders properties file locations ',negative
'custom namespace not handled spring maybe xml ',negative
'the stream closed ',negative
'spr ',negative
'based purely number captures ',negative
'throw these two exceptions besides ',negative
'the index the byte found buffersgetlast written next ',negative
'add bar property validation should pass even with empty string value ',negative
'add rest string but not case empty input ',negative
'else different class with same name found ',negative
'attribute returned know that not defined the management interface ',negative
'stack opposed prior the recursive call ',negative
'handle close method only close not within transaction ',negative
'check socket factories for rmi registry ',negative
'the method descriptor has changed with more locals than the maxlocals field the original code attribute any then the original method attributes cant copied conservative check the descriptor changes alone ensures this being more precise not worth the additional complexity because these cases should rare transform changes method descriptor most the time needs change the methods code too ',negative
'could also get column names ',negative
'hook for exception translation used ',negative
'visit the module modulepackages and modulemainclass attributes ',negative
'typically ',negative
'spr spr ',negative
'assert that the property source was added last the set sources ',negative
'should win was registered last ',negative
'spr ',negative
'ctx new testserviceclass new new mpv new mpv ctxrefresh ',negative
'case backward jump with offset this case automatically replace goto with gotow jsr with jsrw and ifxxx with ifnotxxx gotow where ifnotxxx the opposite opcode ifxxx ifne for ifeq and where designates the instruction just after the gotow ',negative
'extends number ',negative
'retrieve and parse cookie value ',negative
'cant renamed for backward binary compatibility ',negative
'factory method syntax ',negative
'create service locator proxy ',negative
'optional secondmsg blah ',negative
'number times interpret expression before compiling ',negative
'path exhausted only match rest pattern ',negative
'spr ',negative
'check see delegating extendedbeaninfo expected ',negative
'already rmi object bound for the specified service name ',negative
'enforce namespace aware for xsd ',negative
'nonempty payload ',negative
'',negative
'recursive invocation parsing placeholders contained the placeholder key ',negative
'fallback return empty sqlerrorcodes instance ',negative
'ensure some send time elapses ',negative
'referenced the expression nonqualified references hasrole hasipaddress are invoked against ',negative
'public for kotlin ',negative
'variant with nonstandard write method ',negative
'copy autowire settings from original bean definition ',negative
'doesnt make much sense the context list ',negative
'',negative
'noop ',negative
'could part normal workflow browser tab closed ',negative
'exercise the comparator invocation code that runs equalitycheck called from interpreted and compiled code ',negative
'handler method detection ',negative
'spr ',negative
'check for sessionfactorys datasource ',negative
'fail were already creating this bean instance were assumably within circular reference ',negative
'required that all beanpostprocessors scopes etc become available ',negative
'invoke method target session ',negative
'use the pointcuts matches method ',negative
'convenience methods for sending messages and receiving the reply from destination ',negative
'cache debug flag avoid repeated checks ',negative
'propertyspecific editor check typespecific editor ',negative
'ignored ',negative
'template methods for listener execution ',negative
'implemented interfaces probably expose conflicting method signatures proceed with original target method ',negative
'otherwise local settings applied via ',negative
'content phase ',negative
'avoid validator invocation ',negative
'convenience methods for receiving messages ',negative
'ensure that exclude ',negative
'common return type found all factory methods return same type for nonparameterized ',negative
'super ',negative
'only literal encode full source ',negative
'should not throw nsbde ',negative
'additional candidate with same length ',negative
'fallback original javabeans introspection might not have found matching setter method due lack bridge method resolution case the getter using covariant return type whereas the setter defined for the concrete property type ',negative
'simple keyvalue pairs ',negative
'spr ',negative
'use objectinputstreams default classloader ',negative
'match when the literal path element longer form the segment the pattern ',negative
'check directly registered editor for type ',negative
'transactional support for invalidate ',negative
'potentially inherited from outer beans sections otherwise falling back false ',negative
'add any property definitions that need adding ',negative
'right float ',negative
'self description ',negative
'opand ',negative
'nonqualified references hasrole hasipaddress are invoked against ',negative
'recalculate taking into account count inside lock and items that will purged ',negative
'class need create instance for every call ',negative
'the simple case nothing bind ',negative
'method ',negative
'header present ',negative
'throw underlying exception ',negative
'jpa ',negative
'use bind error processor create fielderrors ',negative
'methods dealing with prepared statements ',negative
'apply index iterator case set ',negative
'the insert ',negative
'should include the profileannotated bean with active profiles set ',negative
'havent had aftercommit call trigger rollback ',negative
'clone the invocation proceed three times the moors last sigh this technology can cause premature aging ',negative
'send status code default ',negative
'make the root object the active context again for evaluating the parameter expressions ',negative
'now check noneffect removing interceptor that isnt there ',negative
'now configure the advice ',negative
'skip the argument types one each loop iteration ',negative
'combining configuration classes with properties based loader doesnt really make sense but thats for unit testing purposes ',negative
'parse reference definition properties ',negative
'media type from request ',negative
'aopxml present the classpath enable ',negative
'spr ',negative
'immediate event ',negative
'config loaded from ',negative
'proxy mode should create new scoped object each method call ',negative
'get the mbean server connection ',negative
'html escaping tags performed the valueformatter class ',negative
'spr ',negative
'todo must immutable list ',negative
'shouldnt happen with connection reset beforehand ',negative
'spr ',negative
'create parent context that includes mapping ',negative
'giving either using local default executor none all ',negative
'name specified apply method identification transaction name ',negative
'add each bootstrap method the symbol table entries ',negative
'inlinelist ',negative
'hiding the target bean internal target definition ',negative
'session exists ',negative
'assumes ',negative
'hotel hotel html html however usr user usruser ',negative
'some debug output might useful ',negative
'general execution ',negative
'can still mod second object ',negative
'dont actually want write just save the body flux ',negative
'copy methods for javaioinputstream javaiooutputstream ',negative
'retrying case concurrent reads the same key ',negative
'successorblock has changed must processed thus not already the list blocks process add this list ',negative
'themeresolver and themesource available try fallback ',negative
'cachekey ',negative
'better candidate can found ',negative
'should only have one value child element ref value list etc optionally there might key child element ',negative
'fix point algorithm add the first basic block list blocks process blocks whose stack map frame has changed and while there are blocks process remove one from the list and update the stack map frames its successor blocks the control flow graph which might change them which case these blocks must processed too and are thus added the list blocks process also compute the maximum stack size the method ',negative
'before construction ',negative
'spr ',negative
'remove basic block from the list blocks process ',negative
'out ',negative
'spr ',negative
'for advice applicability check below involving base packages assignable types ',negative
'create pointcut for the anonymous and register ',negative
'need use straight jdbc code because need make sure that the insert and select are performed the same connection otherwise cant sure that identity returns the correct value ',negative
'remove since will reinserting the resolved attribute value ',negative
'slightly diff here because return value isnt list single entity ',negative
'candidate class not importselector process configuration class ',negative
'spr ',negative
'',negative
'for instance supplied beans try the target type and bean class ',negative
'will managed correctly even transaction was created this aspect ',negative
'mergedannotation should follow the same class loader logic ',negative
'clazzname data ',negative
'try first time ',negative
'try get the exact method first ',negative
'havent closed the connection beforecompletion close now the holder might have been used for other cleanup the meantime for example hibernate session ',negative
'nullliteral ',negative
'set relative file reference and hope for the best ',negative
'spr test classes ',negative
'potentially not detected listener getbeannamesfortype retrieval ',negative
'convenience query methods for iteration and bulk updatesdeletes ',negative
'null not instanceof anything ',negative
'add interceptors ',negative
'should not proxy ',negative
'not apply context path relative urls ',negative
'typedstringvalue used equivalent xmldefined argument string ',negative
'has the parser entered variable capture block particular ',negative
'some parsers raise parse exception ',negative
'static bean method ',negative
'must not able set enter message with return value placeholder ',negative
'get the bean again from the ',negative
'restore original default locale ',negative
'repro spr javabean property names compliance tests ',negative
'serialize and continue ',negative
'execute scripts directly against the datasource ',negative
'use the jdks own particular for native mxbean support ',negative
'filling least one buffer ',negative
'spr ',negative
'assuming rfc value tue jun gmt ',negative
'root context removes ',negative
'spr ',negative
'ignore lookuppath attribute use our own fixed urlpathhelper with decoding off ',negative
'superclass after the accessflags and thisclass fields bytes each ',negative
'replace goto with gotow and jsr with jsrw ',negative
'closing ',negative
'only supported output format ',negative
'spr ',negative
'implementation jsr validator interface ',negative
'primary differentiation ',negative
'inherit environment possible ',negative
'',negative
'proceed the joinpoint through the interceptor chain ',negative
'either there was accessor longer existed ',negative
'using default port which not need append the port means ignore ',negative
'need mark the bean skipped its condition ',negative
'remove the merged bean definition for the given bean already created ',negative
'forminserter parameterized clienthttprequest for clientside use only ',negative
'leading control character del ',negative
'close called entire test will fail ',negative
'expose current transactionstatus preserving any existing transactionstatus for restoration after this transaction complete ',negative
'methodreference ',negative
'store single elements ',negative
'treat like property the readercache will only contain gettable properties lets not worry about setters for now ',negative
'order decoders may significant for default data mimetype selection ',negative
'asserttrue beans reftypes not ',negative
'elvis expression ',negative
'were looking find match return null ',negative
'this will set ',negative
'conversionservice not tried before probably custom editor found but editor couldnt produce the required type ',negative
'ascii ',negative
'default handling monetary values ',negative
'transport error more fallback ',negative
'spr ',negative
'the local variable has never been assigned this basic block equal its value the beginning the block ',negative
'first non compiled ',negative
'hibernate ',negative
'for now making this not assignable ',negative
'nonstrict casing can only achieved through custom invocation handling only partial mxbean support available ',negative
'build sessionfactory instance ',negative
'second try the caching operation the target class ',negative
'now let the annotation config loader process the configuration ',negative
'spr ',negative
'',negative
'may need additional runtime argument check ',negative
'mark handlerblock exception handler ',negative
'not valid comparison ',negative
'determine initial delay ',negative
'parsechecknew int count ',negative
'initialize other special beans specific context subclasses ',negative
'potential test timezone both have daylight savings october ',negative
'evaluates idvor ',negative
'use own privileged change accessibility when security ',negative
'already removed must have been dependent bean from another phase ',negative
'because creating target for stats call counts ',negative
'static references ',negative
'trim leading and trailing whitespace ',negative
'load xml resource with contextaware entity resolver ',negative
'wibble should null cannot initialized dynamically there setter ',negative
'cacheable operation all ',negative
'spr ',negative
'set properties again ',negative
'picked redirectview ',negative
'update response ',negative
'static factory methods and accessors ',negative
'upstream write source subscription ',negative
'opeq ',negative
'prefer remote registries due crossserver sessionlookup ',negative
'ehcache reusing existing cachemanager the same name basically the same code just storing whether were dealing with existing instance ',negative
'get here were supposed shut down ',negative
'this methodinfo must copied from existing one the size computation trivial ',negative
'call any method should cause automatic invocation ',negative
'',negative
'proceed with file system resolution ',negative
'emulate what happens when bfpps are added application context its lifobased ',negative
'assumes datelong converter registered ',negative
'check reference beyond end collection ',negative
'implementation messagesource interface ',negative
'here ',negative
'assume type ',negative
'spr ',negative
'should dynamic proxy ',negative
'lazily establish shared connection necessary ',negative
'publish early application events now that finally have multicaster ',negative
'this would unnecessary the case subtyping method takes number but integer passed ',negative
'check whether have any advice dont can fallback direct ',negative
'spr ',negative
'stack nothing ',negative
'assertequals confgetinvocations ',negative
'must use the iso encoding because expects ',negative
'check the inspected method has the correct number parameters ',negative
'continue below ',negative
'',negative
'spr ',negative
'spr ',negative
'config loaded from ',negative
'should still the new bean with name sally greenwood ',negative
'invocations ',negative
'lets try find languageonly match fallback ',negative
'look for explicit serviceidtobeanname mappings ',negative
'force disconnect wont try send close frame ',negative
'prevent clearconnection from trying close ',negative
'map table ',negative
'test fields and helpers ',negative
'static method references ',negative
'this point need refresh ',negative
'',negative
'any the typical annotations found ',negative
'the caller convert them through conversionservice ',negative
'now obtain the value for the fully resolved key ',negative
'http cachecontrol header nocache the standard value nostore necessary prevent caching firefox ',negative
'type references ',negative
'logging related ',negative
'nested arrays ',negative
'works fine ',negative
'httpservletrequest required for all further argument types ',negative
'should handle salesman only interface ',negative
'spr ',negative
'shouldnt through remote service ',negative
'accept applicationjson ',negative
'advice methods ',negative
'only patterns not capturing variables cannot match against just ',negative
'opening tag still needs closed ',negative
'the suffix missing ',negative
'not modify the entitymanager just mark the request accordingly ',negative
'here rightnull leftnull ',negative
'when the input map push special context object the stack before calling the specified operation this special context object has two fields key and value that refer the map entries key and value and they can referenced the operation aybnvalueykeynull null ',negative
'super super ',negative
'index the start the intarrayrootindex should not evaluated twice intarray ',negative
'not touched ',negative
'load properties from file afterwards let those properties override ',negative
'create bean instance ',negative
'verify the input changes the result changes ',negative
'spr ',negative
'convenience methods for storing individual objects ',negative
'generics potentially only match the target class not the proxy ',negative
'have been declared nothing ',negative
'converterregistry implementation ',negative
'against the lockable interface introduced the specific advisor ',negative
'perform wasnull check necessary for results that the jdbc driver returns primitives ',negative
'wrapping not allocating ',negative
'ignore just being asked for plain validator ',negative
'reset the link nextlistelement all the basic blocks that have been processed null ',negative
'here not extract the labels corresponding the attribute content assume they are the same subset those the localvariabletable attribute ',negative
'when the condition primitive ',negative
'',negative
'should behave like ours ',negative
'check already loaded class present since possibly cant even load the class file for this class ',negative
'',negative
'explicit bean definition found probably replacing import lets remove the old one and with the new one ',negative
'simulate which delegates ',negative
'level ',negative
'should dynamic proxy implementing both interfaces ',negative
'resource object add the result ',negative
'there might multiple best patterns lets make sure have the correct uri template variables ',negative
'just use default parent were not dealing with the parent itself and theres class name specified the latter has happen for ',negative
'activationspecimpl class inbound subpackage websphere ',negative
'convenience methods for working with formatted strings ',negative
'',negative
'next invoke the that implement ordered ',negative
'need update the stack size delta always negative ',negative
'caller actually wants reference the factory ',negative
'regex patterns that matches uris see rfc appendix ',negative
'should handle regular exact and vip closest match ',negative
'spr ',negative
'still more specific class ',negative
'september days ',negative
'check cached editor for type registered for superclass interface ',negative
'test string ',negative
'methods discover parameter names for ',negative
'not found check parent any ',negative
'both getter and setter are null then this does not need exposing ',negative
'config file doesnt matter just placeholder ',negative
'trigger postinitialization callback for all applicable beans ',negative
'same ',negative
'process springs beforecompletion early order avoid issues with strict jta implementations that issue warnings when doing jdbc operations after transaction completion ',negative
'create empty list for easier checks when registering triggers ',negative
'the type not public then when generatecode produces checkcast then illegalaccesserror will occur resorting object isnt sufficient the hierarchy could traversed for the first public type ',negative
'index intarray ',negative
'create factory for independent aspect instances ',negative
'wildcards ',negative
'mixed operators ',negative
'create proxy with proxy interface and the ',negative
'spr ',negative
'shouldnt proxy framework interfaces ',negative
'',negative
'applies statically but not dynamically ',negative
'methods parse attributes ',negative
'exceptions table entries debug information max stack and max locals ',negative
'transacted session created this container rollback ',negative
'the types are equal mergesourcetype dsttype dsttype there change ',negative
'has the concrete child bean values ',negative
'special case returned this note that cant help the target sets reference itself another returned object ',negative
'spr ',negative
'try with localeuk ',negative
'check that references survived prototype creation ',negative
'spr ',negative
'assume its connection timeout that would otherwise get lost from jdbc ',negative
'note fields are ordered the methodinfo structure and those related attributes are ordered section the jvms ',negative
'its per target aspect emit the dummy instantiating aspect ',negative
'',negative
'',negative
'always passes ',negative
'rightleft ',negative
'use primitive type for instanceof check compilable ',negative
'passing stringsub call foostringsuper close match ',negative
'hotel hotel html html however user user usruser foo bar foobar ',negative
'complete the control flow graph with the successor blocks subroutines needed ',negative
'invoke constructor ',negative
'',negative
'method call ',negative
'',negative
'does not implement iterable dont create too many garbage iterators ',negative
'invoke nonadvised method ',negative
'should work identically subclass definition which lookup ',negative
'this had better bad sql grammar code ',negative
'determine the decorated beans type than the proxys type ',negative
'the config class annotated with componentscan perform the scan immediately ',negative
'dont override the class with cglib overrides ',negative
'',negative
'parsecheckmax max maxxy max ',negative
'spr ',negative
'passing sub call super close match ',negative
'value false ',negative
'determine default entityresolver use ',negative
'destroy all cached singletons the contexts beanfactory ',negative
'convert arguments necessary and remap them for varargs required ',negative
'compatible reader but body may empty ',negative
'add with jdbc ',negative
'bean definition found this factory delegate parent ',negative
'other order guarantees for methods with unresolvable dependencies and methods that depend them required dependencies will created via default constructor ',negative
'explicit bean name found ',negative
'spr ',negative
'candidate destroy method found ',negative
'handling ipv hosts described spr ',negative
'',negative
'functionorvar pound lparen function var function pound idid methodargs functionrefid methodargs ',negative
'readonly not supported ignore its just hint anyway ',negative
'load default strategy implementations from properties file this currently strictly internal and not meant customized application developers ',negative
'instance check purpose ',negative
'merged annotation ',negative
'should never happen ',negative
'proceed with read methods property type ',negative
'check name with just hyphens replaced ',negative
'add application context url ',negative
'because the custom editor getvalue should return string ',negative
'',negative
'ignore when transformerfactory implementation available ',negative
'support styles field injection ',negative
'nested primitive array ',negative
'methods dealing with plain javasqlconnection ',negative
'qualifiers ',negative
'equals hashcode tostring ',negative
'boolean operators ',negative
'clear contextlevel resource caches such asm metadata from scanning ',negative
'projection project expression rcurly ',negative
'the size bytes use when allocating the next byte ',negative
'var pound idid variablerefid ',negative
'cache hold filename lists per locale ',negative
'perform explicit wiring based the specified bean definition ',negative
'all types are assignable themselves and class object ',negative
'dont add advisors empty list may indicate that proxying just not required ',negative
'first item received writefunction applied and subscribed writefunction fails flush status and headers before requestn from server ',negative
'bind the connection holder the thread ',negative
'spr ',negative
'',negative
'this should not recognized bean since does not reside inside component ',negative
'empty payload ',negative
'spr ',negative
'gather all methods with matching name and parameter size ',negative
'not writable ',negative
'use link store the state basic block only one place but this does not work for labels which have not been visited yet therefore when detect here two labels having the same bytecode offset need ',negative
'create the set field types that may annotated with datetimeformat note the readablepartial concrete types are registered explicitly since rules exist for each these types did not this the default bytype rules for localdate localtime and localdatetime would take precedence over the annotation rule which not what want ',negative
'use same connection for further jdbc actions within the transaction threadbound object will get removed synchronization transaction completion ',negative
'drift over white space ',negative
'use copy instead buffer wrapping because callbacksucceeded used not only release the buffer but also request more data which problem for codecs that buffer data ',negative
'also business exception ',negative
'check the return value ',negative
'the propertyeditor might not support this value pass through ',negative
'insert stack map frame for this bytecode offset requested setting insertframe ',negative
'implementation lifecycle interface ',negative
'for windows ',negative
